"OP_UNIQUE_CARRIER","TAIL_NUM"
"B6","N375JB"
"B6","N972JB"
"B6","N760JB"
"B6","N651JB"
"B6","N323JB"
"B6","N324JB"
"B6","N179JB"
"B6","N526JB"
"B6","N283JB"
"B6","N368JB"
"B6","N583JB"
"B6","N556JB"
"B6","N945JB"
"B6","N943JB"
"B6","N613JB"
"B6","N346JB"
"B6","N634JB"
"B6","N976JB"
"B6","N519JB"
"B6","N590JB"
"B6","N508JB"
"B6","N659JB"
"B6","N358JB"
"B6","N531JB"
"B6","N585JB"
"B6","N827JB"
"B6","N779JB"
"B6","N521JB"
"B6","N766JB"
"B6","N216JB"
"B6","N594JB"
"B6","N636JB"
"B6","N640JB"
"B6","N339JB"
"B6","N623JB"
"B6","N638JB"
"B6","N656JB"
"B6","N503JB"
"B6","N247JB"
"B6","N238JB"
"B6","N374JB"
"B6","N249JB"
"B6","N603JB"
"B6","N593JB"
"B6","N763JB"
"B6","N504JB"
"B6","N708JB"
"B6","N355JB"
"B6","N306JB"
"B6","N296JB"
"B6","N509JB"
"B6","N192JB"
"B6","N627JB"
"B6","N641JB"
"B6","N566JB"
"B6","N524JB"
"B6","N562JB"
"B6","N635JB"
"B6","N768JB"
"B6","N236JB"
"B6","N929JB"
"B6","N715JB"
"B6","N625JB"
"B6","N954JB"
"B6","N187JB"
"B6","N595JB"
"B6","N559JB"
"B6","N373JB"
"B6","N950JB"
"B6","N328JB"
"B6","N644JB"
"B6","N580JB"
"B6","N516JB"
"B6","N348JB"
"B6","N588JB"
"B6","N193JB"
"B6","N658JB"
"B6","N653JB"
"B6","N805JB"
"B6","N793JB"
"B6","N316JB"
"B6","N505JB"
"B6","N706JB"
"B6","N974JB"
"B6","N970JB"
"B6","N935JB"
"B6","N703JB"
"B6","N961JB"
"B6","N206JB"
"B6","N630JB"
"B6","N284JB"
"B6","N304JB"
"B6","N712JB"
"B6","N329JB"
"B6","N615JB"
"B6","N637JB"
"B6","N552JB"
"B6","N510JB"
"B6","N229JB"
"B6","N621JB"
"B6","N589JB"
"B6","N804JB"
"B6","N351JB"
"B6","N942JB"
"B6","N663JB"
"B6","N307JB"
"B6","N279JB"
"B6","N796JB"
"B6","N239JB"
"B6","N228JB"
"B6","N662JB"
"B6","N605JB"
"B6","N821JB"
"B6","N794JB"
"B6","N586JB"
"B6","N294JB"
"B6","N274JB"
"B6","N903JB"
"B6","N564JB"
"B6","N203JB"
"B6","N657JB"
"B6","N568JB"
"B6","N946JB"
"B6","N905JB"
"B6","N646JB"
"B6","N962JB"
"B6","N956JB"
"B6","N292JB"
"B6","N957JB"
"B6","N317JB"
"B6","N318JB"
"B6","N624JB"
"B6","N592JB"
"B6","N828JB"
"B6","N520JB"
"B6","N565JB"
"B6","N266JB"
"B6","N537JB"
"B6","N231JB"
"B6","N506JB"
"B6","N599JB"
"B6","N607JB"
"B6","N561JB"
"B6","N353JB"
"B6","N606JB"
"B6","N197JB"
"B6","N584JB"
"B6","N789JB"
"B6","N645JB"
"B6","N746JB"
"B6","N184JB"
"B6","N190JB"
"B6","N178JB"
"B6","N955JB"
"B6","N334JB"
"B6","N934JB"
"B6","N337JB"
"B6","N639JB"
"B6","N649JB"
"B6","N267JB"
"B6","N298JB"
"B6","N907JB"
"B6","N971JB"
